AI_Usage_Freq,AI_Task_Type,AI_Confidence,Willingness_To_Adopt,Time_Saved_Daily,AI_Usefulness,Comfort_Using_AI,Trust_Accuracy,Trust_Accuracy_AI,Thinks_AI_Reduces_Skills
Rarely,Coding,4,5,2 hours,4,Sometimes,Often,3,Yes
Never,"Creative tasks (stories, ideas, designs)",3,5,> 2 hours,4,No,Always,4,Yes
Daily,Summarizing content,4,4,1 hours,4,No,Sometimes,3,Maybe
Never,Summarizing content,4,4,> 2 hours,3,Yes,Never,3,Maybe
Sometimes,Assignments,4,5,2 hours,2,Yes,Never,3,Yes
Never,Summarizing content,4,5,2 hours,4,Yes,Sometimes,5,No
Never,Summarizing content,5,2,1-2 hours,3,Sometimes,Always,3,Yes
Rarely,"Creative tasks (stories, ideas, designs)",2,4,2 hours,5,Yes,Sometimes,4,Yes
Daily,"Creative tasks (stories, ideas, designs)",5,4,1-2 hours,5,Sometimes,Always,4,Maybe
Daily,"Creative tasks (stories, ideas, designs)",4,3,< 30 Minutes,4,No,Never,5,Maybe
Rarely,Summarizing content,4,4,< 30 Minutes,3,No,Rarely,3,Maybe
Never,Coding,4,2,2 hours,5,Yes,Sometimes,3,Yes
Rarely,"Creative tasks (stories, ideas, designs)",5,4,1-2 hours,3,Sometimes,Often,1,Yes
Sometimes,Summarizing content,4,3,> 2 hours,4,Sometimes,Often,4,Yes
Sometimes,Assignments,5,2,2 hours,3,Yes,Often,2,Maybe
Rarely,Coding,4,3,< 30 Minutes,5,Sometimes,Always,3,Maybe
Frequently,Summarizing content,4,3,> 2 hours,1,Yes,Never,4,Maybe
Daily,Summarizing content,4,5,1 hours,4,No,Rarely,3,Yes
Rarely,Assignments,5,3,1 hours,4,No,Rarely,3,Maybe
Never,Assignments,4,4,< 30 Minutes,5,Sometimes,Always,3,Yes
Never,Assignments,4,4,1 hours,4,Yes,Rarely,5,Yes
Sometimes,"Creative tasks (stories, ideas, designs)",5,4,2 hours,4,Yes,Never,5,No
Daily,Coding,4,5,1-2 hours,4,Sometimes,Never,3,No
Never,Assignments,5,3,< 30 Minutes,2,Yes,Rarely,4,Maybe
Sometimes,Assignments,4,4,2 hours,5,Sometimes,Never,3,No
Rarely,Assignments,4,2,> 2 hours,3,Yes,Sometimes,4,Yes
Frequently,Summarizing content,4,3,1-2 hours,5,No,Often,4,No
Sometimes,"Creative tasks (stories, ideas, designs)",4,3,1-2 hours,4,Sometimes,Never,3,Maybe
Sometimes,Summarizing content,4,4,1 hours,4,Sometimes,Never,5,No
Daily,"Creative tasks (stories, ideas, designs)",5,5,< 30 Minutes,4,Yes,Sometimes,4,No
Sometimes,Explanations,3,2,2 hours,4,No,Never,4,Yes
Rarely,"Creative tasks (stories, ideas, designs)",4,1,1 hours,4,No,Rarely,3,Maybe
Rarely,"Creative tasks (stories, ideas, designs)",3,4,< 30 Minutes,4,No,Often,3,No
Never,Explanations,5,5,1 hours,5,Yes,Always,3,No
Daily,Explanations,5,3,2 hours,4,Sometimes,Sometimes,4,Maybe
Never,"Creative tasks (stories, ideas, designs)",2,4,1 hours,5,Yes,Never,3,No
Frequently,"Creative tasks (stories, ideas, designs)",5,5,1 hours,5,Yes,Never,3,Yes
Daily,Others,2,4,< 30 Minutes,3,No,Never,3,No
Daily,Explanations,4,2,2 hours,4,No,Sometimes,3,Yes
Sometimes,"Creative tasks (stories, ideas, designs)",5,4,1-2 hours,4,Sometimes,Sometimes,1,No
Sometimes,Explanations,4,5,< 30 Minutes,4,Sometimes,Sometimes,3,Maybe
Frequently,Summarizing content,4,5,> 2 hours,5,Sometimes,Rarely,4,Maybe
Frequently,Coding,5,2,< 30 Minutes,5,No,Often,5,Yes
Rarely,"Creative tasks (stories, ideas, designs)",2,5,< 30 Minutes,5,Sometimes,Often,5,Maybe
Sometimes,Assignments,4,4,> 2 hours,4,Sometimes,Rarely,4,Maybe
Never,Assignments,5,4,1-2 hours,5,No,Sometimes,3,Maybe
Daily,"Creative tasks (stories, ideas, designs)",3,4,2 hours,5,No,Rarely,5,Maybe
Frequently,Others,3,4,< 30 Minutes,5,Yes,Rarely,3,Maybe
